pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,label
2.256341796473151223e-02,4.147953613006283985e-03,3.878652177201090401e-02,1.517392476822877409e-02,-1.980791013106425816e-02,3.847227699100422976e-02,3.057859653752246359e-03,-1.504456929030009195e-02,0
3.426999005849377944e-02,-1.048066051767322258e-03,-1.583515009529662121e-01,-1.707631501587250980e-02,9.261827982656932468e-02,5.108945506943738009e-03,7.354284969441407527e-02,-1.174753510663140987e-01,0
1.035530861520637530e-01,-8.847119276325737802e-02,-9.536947322242289582e-02,-2.459283580717797069e-02,3.808181796765266330e-02,-1.299035854717576488e-01,-3.039690546080923289e-02,5.152927552992424970e-02,0
4.400145577784066175e-02,-3.158056364575904246e-02,-9.679490754686739806e-02,-7.909757021540604616e-02,3.384322563538596368e-02,-8.594173535106174044e-02,-5.111405803728497066e-02,-1.078044597192582554e-01,0
-4.614161450746625398e-02,9.657237173085768747e-03,3.855684077207730681e-02,-6.422583510634692627e-02,-3.617019260713548456e-02,-6.319152273952668986e-02,-4.264160917229792985e-02,-1.094725575246272287e-01,0
-7.373690797479223735e-02,1.419035019074330883e-01,-1.010068675639666791e-01,1.500269343170948233e-01,-1.088417040630103652e-02,7.761373185715808587e-02,8.480063282888346265e-02,-1.529229835710419448e-02,0
-9.047288224653306232e-02,-8.860496907743255213e-02,-1.463451336268811465e-01,2.174904023371442008e-02,1.497958839839746426e-01,-2.648278790797443244e-02,-8.191700632573048479e-02,-5.470372069490476302e-02,0
5.560966382588200356e-03,-1.139590789827289175e-01,-1.535329570830566009e-02,-1.735927179417714739e-01,4.865436892816907971e-02,1.352738829541527132e-01,-6.774649758272295597e-02,-3.913664141516277201e-02,0
-7.889890031278697091e-02,1.195600572310601961e-01,-8.726540081176591135e-02,3.677278078830212987e-02,-1.037409005361586249e-02,7.685238971335529856e-03,6.633972916957245509e-03,-1.725842374499021725e-02,0
8.488359161973031697e-02,5.296288759055726297e-02,-8.492907538204383378e-02,4.423113318513660630e-02,6.847565055455788474e-02,1.094430994764079845e-01,-3.498476239422912415e-02,-6.599611708487169992e-02,0
-3.932785663254576014e-02,-7.234650445601234492e-02,-9.278509277101741615e-02,-5.651426356105349047e-02,-4.511213549575115913e-04,3.392273331377475276e-03,1.349007973554628148e-01,-5.254634137485549028e-02,0
4.045125470511844873e-02,1.223620520767306902e-01,3.546772735754784300e-02,-8.436367637359711014e-02,-2.057342696920876415e-02,-6.011440814025861140e-02,4.613193398759896785e-02,3.042841989765763394e-02,0
